"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","28879104881","Bernal Torrent, Sara","29/09/1996","Abad Estrada, Inés","+34 XXXXXXX","+34 XXXXXXX","sara@mailintaor.com","Ramirez Soler, Arnau","+34 XXXXZZZZ","+34 XXXXLLL","ines@mailintaor.com","c/ de l'aviador Arnau Ramirez Soler","L'Armentera","Albanyà","sara@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","11294013943","Bermudez Luna, Marta","21/08/1991","Aranda Beltran, Marc","+34 XXXXXXX","+34 XXXXXXX","marta@mailintaor.com","Redondo Carrillo, Aitor","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Aitor Redondo Carrillo","L'Armentera","Albanyà","marta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","67399251831","Marco Jurado, Pol","23/01/1997","Bermudez Bueno, Dídac","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Oliva Prat, Leo","+34 XXXXZZZZ","+34 XXXXLLL","didac@mailintaor.com","c/ de l'aviador Leo Oliva Prat","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","56220951604","Franco Heredia, Mario","04/04/1990","Lorenzo Cabello, Marta","+34 XXXXXXX","+34 XXXXXXX","mario@mailintaor.com","Parra Coll, Alexandra","+34 XXXXZZZZ","+34 XXXXLLL","marta@mailintaor.com","c/ de l'aviador Alexandra Parra Coll","L'Armentera","Albanyà","mario@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","76032837529","Codina Flores, Pau","26/07/1992","Grau Rojas, Lucía","+34 XXXXXXX","+34 XXXXXXX","pau@mailintaor.com","Navarro Guerra, Antonio","+34 XXXXZZZZ","+34 XXXXLLL","lucia@mailintaor.com","c/ de l'aviador Antonio Navarro Guerra","L'Armentera","Albanyà","pau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","28024171577","Soler Capdevila, Unai","11/12/1998","Carrillo Vazquez, Laura","+34 XXXXXXX","+34 XXXXXXX","unai@mailintaor.com","Morales Puig, Javier","+34 XXXXZZZZ","+34 XXXXLLL","laura@mailintaor.com","c/ de l'aviador Javier Morales Puig","L'Armentera","Albanyà","unai@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","39428626402","Valles Camacho, Leyre","24/08/1994","Salazar Benito, Sara","+34 XXXXXXX","+34 XXXXXXX","leyre@mailintaor.com","Fuentes Avila, Aitor","+34 XXXXZZZZ","+34 XXXXLLL","sara@mailintaor.com","c/ de l'aviador Aitor Fuentes Avila","L'Armentera","Albanyà","leyre@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","49938366907","Rius Vega, Blanca","24/09/1990","Ordoñez Borras, Sara","+34 XXXXXXX","+34 XXXXXXX","blanca@mailintaor.com","Esteban Amaya, Judith","+34 XXXXZZZZ","+34 XXXXLLL","sara@mailintaor.com","c/ de l'aviador Judith Esteban Amaya","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","54937762853","Salazar Soriano, Lluc","01/12/1995","Martinez Miro, Xavi","+34 XXXXXXX","+34 XXXXXXX","lluc@mailintaor.com","Iglesias Carrera, Alan","+34 XXXXZZZZ","+34 XXXXLLL","xavi@mailintaor.com","c/ de l'aviador Alan Iglesias Carrera","L'Armentera","Albanyà","lluc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","56103501687","Serrano Palacios, Mireia","04/04/1994","Gutierrez Ibañez, Aitor","+34 XXXXXXX","+34 XXXXXXX","mireia@mailintaor.com","Romero Molina, Lucas","+34 XXXXZZZZ","+34 XXXXLLL","aitor@mailintaor.com","c/ de l'aviador Lucas Romero Molina","L'Armentera","Albanyà","mireia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1A"
"1","75012771530","Gutierrez Torres, Marina","15/09/1990","Sanchez Suarez, Jan","+34 XXXXXXX","+34 XXXXXXX","marina@mailintaor.com","Alba Luna, Arnau","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Arnau Alba Luna","L'Armentera","Albanyà","marina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","96456395774","Exposito Ros, Queralt","31/05/1992","Velasco Ramos, Ismael","+34 XXXXXXX","+34 XXXXXXX","queralt@mailintaor.com","Beltran Soto, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Jordi Beltran Soto","L'Armentera","Albanyà","queralt@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","10907905799","Collado Rueda, Queralt","29/07/1992","Carrera Pozo, Leo","+34 XXXXXXX","+34 XXXXXXX","queralt@mailintaor.com","Prieto Cuevas, Daniela","+34 XXXXZZZZ","+34 XXXXLLL","leo@mailintaor.com","c/ de l'aviador Daniela Prieto Cuevas","L'Armentera","Albanyà","queralt@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","89337552855","Carrasco Garriga, Miquel","05/03/1991","Escudero Villanueva, Iris","+34 XXXXXXX","+34 XXXXXXX","miquel@mailintaor.com","Calderon Ortega, Aina","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Aina Calderon Ortega","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","37634469826","Andres Marquez, Erik","29/03/1994","Bueno Pozo, Bruno","+34 XXXXXXX","+34 XXXXXXX","erik@mailintaor.com","Bosch Lopez, Anna","+34 XXXXZZZZ","+34 XXXXLLL","bruno@mailintaor.com","c/ de l'aviador Anna Bosch Lopez","L'Armentera","Albanyà","erik@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","87492089010","Quintana Moreno, Cristina","06/06/1991","Herrera Calvo, Alejandro","+34 XXXXXXX","+34 XXXXXXX","cristina@mailintaor.com","Rico Bertran, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","alejandro@mailintaor.com","c/ de l'aviador Oriol Rico Bertran","L'Armentera","Albanyà","cristina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","47036782575","Mesa Calderon, Lluc","02/12/1991","Pereira Arroyo, Xavier","+34 XXXXXXX","+34 XXXXXXX","lluc@mailintaor.com","Ibañez Padilla, Leire","+34 XXXXZZZZ","+34 XXXXLLL","xavier@mailintaor.com","c/ de l'aviador Leire Ibañez Padilla","L'Armentera","Albanyà","lluc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","69987074928","Alsina Gallardo, Max","24/06/1990","Pozo Reyes, Alexandra","+34 XXXXXXX","+34 XXXXXXX","max@mailintaor.com","Ramon Andres, Ona","+34 XXXXZZZZ","+34 XXXXLLL","alexandra@mailintaor.com","c/ de l'aviador Ona Ramon Andres","L'Armentera","Albanyà","max@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","26655859497","Medina Serrano, Emma","02/09/1998","Miro Marcos, Laura","+34 XXXXXXX","+34 XXXXXXX","emma@mailintaor.com","Calderon Ribas, Mireia","+34 XXXXZZZZ","+34 XXXXLLL","laura@mailintaor.com","c/ de l'aviador Mireia Calderon Ribas","L'Armentera","Albanyà","emma@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","67088060797","Diaz Cabello, Iris","16/07/1990","Cabrera Franco, Marc","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Martinez Espinosa, Abril","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Abril Martinez Espinosa","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","14283503643","Andreu Vicente, Malak","11/10/1999","Castro Sancho, Víctor","+34 XXXXXXX","+34 XXXXXXX","malak@mailintaor.com","Camacho Montoya, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","victor@mailintaor.com","c/ de l'aviador Dídac Camacho Montoya","L'Armentera","Albanyà","malak@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","48886241979","Andres Diez, Miquel","17/04/1994","Blasco Benito, Paula","+34 XXXXXXX","+34 XXXXXXX","miquel@mailintaor.com","Alonso Valero, Emma","+34 XXXXZZZZ","+34 XXXXLLL","paula@mailintaor.com","c/ de l'aviador Emma Alonso Valero","L'Armentera","Albanyà","miquel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","50519977551","Pages Escobar, Iker","20/11/1999","Carmona Quesada, David","+34 XXXXXXX","+34 XXXXXXX","iker@mailintaor.com","Campos Domingo, Hugo","+34 XXXXZZZZ","+34 XXXXLLL","david@mailintaor.com","c/ de l'aviador Hugo Campos Domingo","L'Armentera","Albanyà","iker@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","24380691145","Martos Torres, Xavier","11/10/1997","Carrillo Torres, Leyre","+34 XXXXXXX","+34 XXXXXXX","xavier@mailintaor.com","Pages Ramirez, Joan","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Joan Pages Ramirez","L'Armentera","Albanyà","xavier@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","84161898941","Alsina Torres, Xavier","01/11/1993","Benitez Pozo, Gabriel","+34 XXXXXXX","+34 XXXXXXX","xavier@mailintaor.com","Saez Sanchez, Berta","+34 XXXXZZZZ","+34 XXXXLLL","gabriel@mailintaor.com","c/ de l'aviador Berta Saez Sanchez","L'Armentera","Albanyà","xavier@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","52254980293","Marti Oliva, Bruno","11/03/1993","Montes Escobar, Lucía","+34 XXXXXXX","+34 XXXXXXX","bruno@mailintaor.com","Saez Amaya, Sergio","+34 XXXXZZZZ","+34 XXXXLLL","lucia@mailintaor.com","c/ de l'aviador Sergio Saez Amaya","L'Armentera","Albanyà","bruno@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","26587849448","Molina Guerra, José","12/11/1997","Vazquez Camacho, Lluc","+34 XXXXXXX","+34 XXXXXXX","jose@mailintaor.com","Lozano Gimeno, Xavier","+34 XXXXZZZZ","+34 XXXXLLL","lluc@mailintaor.com","c/ de l'aviador Xavier Lozano Gimeno","L'Armentera","Albanyà","jose@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","57309177930","Muñoz Ferrer, Unai","09/08/1990","Camacho Vargas, Leyre","+34 XXXXXXX","+34 XXXXXXX","unai@mailintaor.com","Miguel Viñas, Berta","+34 XXXXZZZZ","+34 XXXXLLL","leyre@mailintaor.com","c/ de l'aviador Berta Miguel Viñas","L'Armentera","Albanyà","unai@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","49073983906","Ribas Moya, Axel","23/05/1990","Castro Moya, Cristina","+34 XXXXXXX","+34 XXXXXXX","axel@mailintaor.com","Mendoza Moya, Oriol","+34 XXXXZZZZ","+34 XXXXLLL","cristina@mailintaor.com","c/ de l'aviador Oriol Mendoza Moya","L'Armentera","Albanyà","axel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","57249037120","Heredia Abad, Adrià","07/07/1992","Linares Campos, Pol","+34 XXXXXXX","+34 XXXXXXX","adria@mailintaor.com","Ramirez Ruiz, Judith","+34 XXXXZZZZ","+34 XXXXLLL","pol@mailintaor.com","c/ de l'aviador Judith Ramirez Ruiz","L'Armentera","Albanyà","adria@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","16140115601","Rey Montes, Aitana","06/12/1992","Abad Fuentes, Marta","+34 XXXXXXX","+34 XXXXXXX","aitana@mailintaor.com","Mata Andres, Ferran","+34 XXXXZZZZ","+34 XXXXLLL","marta@mailintaor.com","c/ de l'aviador Ferran Mata Andres","L'Armentera","Albanyà","aitana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","93038548944","Prieto Hernandez, Diego","12/08/1997","Millan Lozano, Sara","+34 XXXXXXX","+34 XXXXXXX","diego@mailintaor.com","Juan Domenech, Helena","+34 XXXXZZZZ","+34 XXXXLLL","sara@mailintaor.com","c/ de l'aviador Helena Juan Domenech","L'Armentera","Albanyà","diego@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","96234349675","Castillo Roig, Berta","03/10/1993","Vila Espinosa, Alba","+34 XXXXXXX","+34 XXXXXXX","berta@mailintaor.com","Pons Gallego, Mar","+34 XXXXZZZZ","+34 XXXXLLL","alba@mailintaor.com","c/ de l'aviador Mar Pons Gallego","L'Armentera","Albanyà","berta@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","95845938190","Ortiz Arroyo, Rayan","13/04/1998","Oliva Jimenez, Clara","+34 XXXXXXX","+34 XXXXXXX","rayan@mailintaor.com","Martos Ortiz, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","clara@mailintaor.com","c/ de l'aviador Ayman Martos Ortiz","L'Armentera","Albanyà","rayan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","95337999845","Saez Egea, Lucas","11/10/1999","Lazaro Santiago, Alejandro","+34 XXXXXXX","+34 XXXXXXX","lucas@mailintaor.com","Torres Borras, Nora","+34 XXXXZZZZ","+34 XXXXLLL","alejandro@mailintaor.com","c/ de l'aviador Nora Torres Borras","L'Armentera","Albanyà","lucas@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","34522604129","Coll Font, Izan","14/03/1999","Pascual Pastor, Andrea","+34 XXXXXXX","+34 XXXXXXX","izan@mailintaor.com","Saez Flores, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","andrea@mailintaor.com","c/ de l'aviador Miguel Saez Flores","L'Armentera","Albanyà","izan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","64637021376","Piñol Vidal, Cristina","25/09/1996","Roca Parra, Bruno","+34 XXXXXXX","+34 XXXXXXX","cristina@mailintaor.com","Ramos Castro, Ona","+34 XXXXZZZZ","+34 XXXXLLL","bruno@mailintaor.com","c/ de l'aviador Ona Ramos Castro","L'Armentera","Albanyà","cristina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","97262522028","Carrasco Salazar, Daniel","15/06/1991","Arroyo Castro, Noa","+34 XXXXXXX","+34 XXXXXXX","daniel@mailintaor.com","Asensio Sanz, Daniela","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Daniela Asensio Sanz","L'Armentera","Albanyà","daniel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","93547507387","Mir Salazar, Anna","13/05/1995","Escudero Grau, Jaume","+34 XXXXXXX","+34 XXXXXXX","anna@mailintaor.com","Sanz Mata, Martí","+34 XXXXZZZZ","+34 XXXXLLL","jaume@mailintaor.com","c/ de l'aviador Martí Sanz Mata","L'Armentera","Albanyà","anna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","28551519214","Guillen Mata, Carla","30/03/1990","Quintana Herrero, Ferran","+34 XXXXXXX","+34 XXXXXXX","carla@mailintaor.com","Sanz Franco, Inés","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Inés Sanz Franco","L'Armentera","Albanyà","carla@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","95641312240","Alarcon Bravo, Max","10/06/1997","Flores Alonso, Albert","+34 XXXXXXX","+34 XXXXXXX","max@mailintaor.com","Castells Aparicio, Naiara","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Naiara Castells Aparicio","L'Armentera","Albanyà","max@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","41462995619","Piñol Domingo, Blanca","01/12/1996","Alba Lara, Eloi","+34 XXXXXXX","+34 XXXXXXX","blanca@mailintaor.com","Salazar Bonet, Salma","+34 XXXXZZZZ","+34 XXXXLLL","eloi@mailintaor.com","c/ de l'aviador Salma Salazar Bonet","L'Armentera","Albanyà","blanca@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","24758163985","Valero Diaz, Marwa","17/07/1990","Collado Vidal, Aitor","+34 XXXXXXX","+34 XXXXXXX","marwa@mailintaor.com","Castaño Vera, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","aitor@mailintaor.com","c/ de l'aviador Mariona Castaño Vera","L'Armentera","Albanyà","marwa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","99540400461","Camps Gutierrez, Miguel","18/06/1999","Casas Galan, Mar","+34 XXXXXXX","+34 XXXXXXX","miguel@mailintaor.com","Lorente Rosell, Sergio","+34 XXXXZZZZ","+34 XXXXLLL","mar@mailintaor.com","c/ de l'aviador Sergio Lorente Rosell","L'Armentera","Albanyà","miguel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","18494171852","Pereira Planas, Joel","05/06/1994","Contreras Rubio, Biel","+34 XXXXXXX","+34 XXXXXXX","joel@mailintaor.com","Simon Capdevila, Mario","+34 XXXXZZZZ","+34 XXXXLLL","biel@mailintaor.com","c/ de l'aviador Mario Simon Capdevila","L'Armentera","Albanyà","joel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","30211005423","Alcaraz Marti, Pau","11/04/1998","Cardenas Suarez, Albert","+34 XXXXXXX","+34 XXXXXXX","pau@mailintaor.com","Soto Galvez, Adriana","+34 XXXXZZZZ","+34 XXXXLLL","albert@mailintaor.com","c/ de l'aviador Adriana Soto Galvez","L'Armentera","Albanyà","pau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","73845711507","Salas Rosell, Leire","28/11/1993","Exposito Vila, Adrià","+34 XXXXXXX","+34 XXXXXXX","leire@mailintaor.com","Comas Miguel, Marcos","+34 XXXXZZZZ","+34 XXXXLLL","adria@mailintaor.com","c/ de l'aviador Marcos Comas Miguel","L'Armentera","Albanyà","leire@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","73628979448","Jimenez Pla, Izan","23/04/1990","Mateo Egea, Ferran","+34 XXXXXXX","+34 XXXXXXX","izan@mailintaor.com","Piñol Espinosa, Eva","+34 XXXXZZZZ","+34 XXXXLLL","ferran@mailintaor.com","c/ de l'aviador Eva Piñol Espinosa","L'Armentera","Albanyà","izan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","79659305763","Mata Gimenez, Jordi","26/09/1992","Garriga Castillo, Nil","+34 XXXXXXX","+34 XXXXXXX","jordi@mailintaor.com","Capdevila Caballero, Jaume","+34 XXXXZZZZ","+34 XXXXLLL","nil@mailintaor.com","c/ de l'aviador Jaume Capdevila Caballero","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","88950351990","Ramos Gallardo, Martina","22/02/1999","Camps Gimenez, Arnau","+34 XXXXXXX","+34 XXXXXXX","martina@mailintaor.com","Valle Hernandez, Nora","+34 XXXXZZZZ","+34 XXXXLLL","arnau@mailintaor.com","c/ de l'aviador Nora Valle Hernandez","L'Armentera","Albanyà","martina@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","85886293409","Marcos Pallares, Mohamed","17/02/1997","Montoya Oliva, Jan","+34 XXXXXXX","+34 XXXXXXX","mohamed@mailintaor.com","Saez Soria, Ferran","+34 XXXXZZZZ","+34 XXXXLLL","jan@mailintaor.com","c/ de l'aviador Ferran Saez Soria","L'Armentera","Albanyà","mohamed@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","21743067139","Esteve Cuevas, Alejandro","13/12/1991","Pereira Prat, Lucas","+34 XXXXXXX","+34 XXXXXXX","alejandro@mailintaor.com","Gimeno Rico, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","lucas@mailintaor.com","c/ de l'aviador Jordi Gimeno Rico","L'Armentera","Albanyà","alejandro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","51114094616","Quesada Franco, Joana","29/05/1994","Zamora Vila, Laura","+34 XXXXXXX","+34 XXXXXXX","joana@mailintaor.com","Silva Palacios, Rayan","+34 XXXXZZZZ","+34 XXXXLLL","laura@mailintaor.com","c/ de l'aviador Rayan Silva Palacios","L'Armentera","Albanyà","joana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","29174727302","Montoya Miguel, Bruna","04/02/1994","Marquez Coll, Mohamed","+34 XXXXXXX","+34 XXXXXXX","bruna@mailintaor.com","Torrent Romero, Jaume","+34 XXXXZZZZ","+34 XXXXLLL","mohamed@mailintaor.com","c/ de l'aviador Jaume Torrent Romero","L'Armentera","Albanyà","bruna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","53093950107","Miguel Mesa, Aitor","25/07/1992","Aguilar Prat, Naia","+34 XXXXXXX","+34 XXXXXXX","aitor@mailintaor.com","Bermudez Palau, Ferran","+34 XXXXZZZZ","+34 XXXXLLL","naia@mailintaor.com","c/ de l'aviador Ferran Bermudez Palau","L'Armentera","Albanyà","aitor@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","56148628984","Mir Llorens, Alejandro","23/03/1998","Ramos Casas, Emma","+34 XXXXXXX","+34 XXXXXXX","alejandro@mailintaor.com","Jurado Colomer, Ivet","+34 XXXXZZZZ","+34 XXXXLLL","emma@mailintaor.com","c/ de l'aviador Ivet Jurado Colomer","L'Armentera","Albanyà","alejandro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","68877867659","Valencia Gomez, Eva","29/11/1995","Gimeno Camacho, Mariona","+34 XXXXXXX","+34 XXXXXXX","eva@mailintaor.com","Nieto Singh, Rayan","+34 XXXXZZZZ","+34 XXXXLLL","mariona@mailintaor.com","c/ de l'aviador Rayan Nieto Singh","L'Armentera","Albanyà","eva@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","92448857335","Diez Hurtado, Aitana","14/07/1993","Valero Dominguez, Elsa","+34 XXXXXXX","+34 XXXXXXX","aitana@mailintaor.com","Morales Valls, Albert","+34 XXXXZZZZ","+34 XXXXLLL","elsa@mailintaor.com","c/ de l'aviador Albert Morales Valls","L'Armentera","Albanyà","aitana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","52514900024","Bueno Galindo, José","12/05/1992","Lopez Roig, Nerea","+34 XXXXXXX","+34 XXXXXXX","jose@mailintaor.com","Casals Rivas, Samuel","+34 XXXXZZZZ","+34 XXXXLLL","nerea@mailintaor.com","c/ de l'aviador Samuel Casals Rivas","L'Armentera","Albanyà","jose@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
